[00:41:01] [Dziekan] Uczelnia otwarta. Miejsc: 1500. Przewidywana liczba kandydatow: 15000.
[00:41:01] [Dziekan] Komisja A (PID: 345518) i komisja B (PID: 345519) rozpoczynaja prace.
[00:41:08] 
 [Dziekan] KONIEC EGZAMINU. OBLICZANIE RANKINGU I PUBLIKACJA WYNIKOW

=================================================================================
| NR   | PID        | MATURA   | KOM A    | KOM B    | SUMA  | STATUS                   |
| 914  | 347353     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 915  | 347354     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 916  | 347355     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 917  | 347356     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 918  | 347357     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 919  | 347358     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 920  | 347359     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 921  | 347360     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 922  | 347361     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 923  | 347362     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 924  | 347363     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 925  | 347364     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 926  | 347365     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 927  | 347366     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 928  | 347367     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 929  | 347368     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 930  | 347369     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 931  | 347370     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 932  | 347371     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 933  | 347372     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 934  | 347373     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 935  | 347374     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 936  | 347375     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 937  | 347376     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 938  | 347377     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 939  | 347378     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 940  | 347379     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 941  | 347380     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 942  | 347381     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 943  | 347382     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 944  | 347383     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 945  | 347384     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 946  | 347385     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 947  | 347386     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 948  | 347387     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 949  | 347388     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 950  | 347389     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 951  | 347390     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 952  | 347391     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 953  | 347392     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 954  | 347393     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 955  | 347394     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 956  | 347395     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 957  | 347396     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 958  | 347397     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 959  | 347398     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 960  | 347399     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 961  | 347400     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 962  | 347401     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 963  | 347402     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 964  | 347403     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 965  | 347404     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 966  | 347405     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 967  | 347406     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 968  | 347407     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 969  | 347408     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 970  | 347409     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 971  | 347410     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 972  | 347411     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 973  | 347412     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 974  | 347413     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 975  | 347414     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 976  | 347415     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 977  | 347416     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 978  | 347417     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 979  | 347418     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 980  | 347419     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 981  | 347420     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 982  | 347421     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 983  | 347422     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 984  | 347423     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 985  | 347424     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 986  | 347425     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 987  | 347426     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 988  | 347427     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 989  | 347428     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 990  | 347429     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 991  | 347430     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 992  | 347431     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 993  | 347432     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 994  | 347433     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 995  | 347434     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 996  | 347435     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 997  | 347436     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 998  | 347437     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 999  | 347438     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1000 | 347439     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1001 | 347440     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1002 | 347441     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1003 | 347442     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1004 | 347443     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1005 | 347444     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1006 | 347445     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1007 | 347446     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1008 | 347447     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1009 | 347448     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1010 | 347449     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1011 | 347450     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1012 | 347451     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1013 | 347452     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1014 | 347453     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1015 | 347454     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1016 | 347455     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1017 | 347456     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1018 | 347457     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1019 | 347458     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1020 | 347459     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1021 | 347460     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1022 | 347461     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1023 | 347462     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1024 | 347463     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1025 | 347464     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1026 | 347465     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1027 | 347466     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1028 | 347467     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1029 | 347468     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1030 | 347469     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1031 | 347470     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1032 | 347471     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1033 | 347472     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1034 | 347473     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1035 | 347474     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1036 | 347475     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1037 | 347476     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1038 | 347477     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1039 | 347478     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1040 | 347479     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1041 | 347480     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1042 | 347481     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1043 | 347482     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1044 | 347483     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1045 | 347484     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1046 | 347485     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1047 | 347486     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1048 | 347487     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1049 | 347488     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1050 | 347489     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1051 | 347490     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1052 | 347491     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1053 | 347492     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1054 | 347493     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1055 | 347494     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1056 | 347495     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1057 | 347496     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1058 | 347497     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1059 | 347498     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1060 | 347499     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1061 | 347500     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1062 | 347501     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1063 | 347502     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1064 | 347503     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1065 | 347504     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1066 | 347505     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1067 | 347506     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1068 | 347507     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1069 | 347508     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1070 | 347509     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1071 | 347510     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1072 | 347511     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1073 | 347512     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1074 | 347513     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1075 | 347514     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1076 | 347515     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1077 | 347516     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1078 | 347517     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1079 | 347518     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1080 | 347519     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1081 | 347520     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1082 | 347521     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1083 | 347522     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1084 | 347523     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1085 | 347524     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1086 | 347525     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1087 | 347526     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1088 | 347527     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1089 | 347528     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1090 | 347529     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1091 | 347530     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1092 | 347531     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1093 | 347532     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1094 | 347533     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1095 | 347534     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1096 | 347535     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1097 | 347536     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1098 | 347537     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1099 | 347538     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1100 | 347539     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1101 | 347540     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1102 | 347541     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1103 | 347542     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1104 | 347543     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1105 | 347544     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1106 | 347545     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1107 | 347546     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1108 | 347547     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1109 | 347548     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1110 | 347549     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1111 | 347550     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1112 | 347551     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1113 | 347552     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1114 | 347553     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1115 | 347554     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1116 | 347555     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1117 | 347556     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1118 | 347557     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1119 | 347558     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1120 | 347559     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1121 | 347560     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1122 | 347561     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1123 | 347562     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1124 | 347563     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1125 | 347564     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1126 | 347565     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1127 | 347566     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1128 | 347567     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1129 | 347568     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1130 | 347569     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1131 | 347570     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1132 | 347571     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1133 | 347572     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1134 | 347573     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1135 | 347574     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1136 | 347575     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1137 | 347576     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1138 | 347577     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1139 | 347578     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1140 | 347579     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 1141 | 347580     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
=================================================================================


=================================================================================
                          LISTA PRZYJETYCH                                          
=================================================================================
| NR   | PID        | OCENA A  | OCENA B  | OCENA KONCOWA |
---------------------------------------------------------------------------------
=================================================================================
[00:41:08] [Dziekan] Zamykanie systemu i sprzatanie zasobow IPC...
